26,216 rows; split 2023-04-04
reference: all days (2% sample)          n=  8587 d=2173  5d exc  +0.18% t  +1.0 | H1  -0.12% (t  -0.4) H2  +0.40% (t  +2.1) | top  30%

== top 12 by DISCOVERY-half t ==
volZ>=4 barZ>=1.5 run5Z>=2.5             n=  1017 d= 628 10d exc  -6.88% t  -6.1 | H1 -10.70% (t  -5.6) H2  -5.24% (t  -3.8) | top  43%
volZ>=4 barZ>=1.5                        n=  1534 d= 869 10d exc  -5.33% t  -6.3 | H1  -8.11% (t  -5.5) H2  -4.09% (t  -4.0) | top  49%
volZ>=4 barZ>=1.5 run5Z>=1.5             n=  1322 d= 770 10d exc  -5.63% t  -5.9 | H1  -8.85% (t  -5.5) H2  -4.23% (t  -3.6) | top  46%
volZ>=4 barZ>=2 run5Z>=2.5               n=   972 d= 614 10d exc  -6.60% t  -5.6 | H1 -10.39% (t  -5.3) H2  -4.99% (t  -3.4) | top  43%
volZ>=4 barZ>=1.5 run5Z>=2.5 new20dHigh  n=   899 d= 564 10d exc  -7.07% t  -5.9 | H1 -10.49% (t  -5.3) H2  -5.51% (t  -3.7) | top  42%
volZ>=4 barZ>=3 run5Z>=2.5               n=   869 d= 568 10d exc  -6.86% t  -5.6 | H1 -10.69% (t  -5.3) H2  -5.29% (t  -3.5) | top  43%
volZ>=4 barZ>=2 run5Z>=2.5 new20dHigh    n=   872 d= 557 10d exc  -7.04% t  -5.8 | H1 -10.50% (t  -5.2) H2  -5.48% (t  -3.6) | top  42%
volZ>=4 barZ>=2 run5Z>=1.5               n=  1251 d= 754 10d exc  -5.44% t  -5.4 | H1  -8.50% (t  -5.1) H2  -4.12% (t  -3.3) | top  45%
volZ>=4 barZ>=3 run5Z>=2.5 new20dHigh    n=   794 d= 524 10d exc  -7.56% t  -6.0 | H1 -10.80% (t  -5.1) H2  -6.15% (t  -4.0) | top  42%
volZ>=4 barZ>=2                          n=  1420 d= 840 10d exc  -5.30% t  -5.9 | H1  -7.80% (t  -5.1) H2  -4.20% (t  -3.8) | top  48%
volZ>=4 barZ>=3                          n=  1154 d= 729 10d exc  -6.14% t  -6.2 | H1  -8.59% (t  -5.1) H2  -5.09% (t  -4.2) | top  47%
